cooked_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6464,310,10,0,0.7,0.7,0,0,0,0,0
6465,330,180,0,12,5,0,0,150,7,0
6466,435,285,0,61,1,0,0,60,0,0
6467,435,230,0,51,0.7,0,0,35,0,0
6468,320,235,0,30,6,0,0,140,6,0
6469,340,0,0,0,0,0,0,5,0,0
6470,440,245,0,55,1,0,0,5,0,0
6471,340,5,0,0,0,0,0,0,0,0
6472,370,110,0,7,4,0,0,105,4.6,0
6473,370,10,0,0,0,0,0,25,0,0
6474,270,120,0,8,6,0,0,105,4.5,0
6475,405,200,0,29,5,0,0,110,4.3,0
6476,320,335,0,22,9,0,0,130,10,0
6477,380,230,0,16,7,0,0,240,5,0
6478,340,240,0,32,7,0,0,130,5,0
6479,390,190,0,28,5,0,0,90,4.1,0
6480,390,180,0,39,1,0,0,55,0.1,0
6481,390,220,0,49,0.7,0,0,30,0,0
6482,410,185,0,22,8,0,0,90,2.8,0
6483,320,250,0,27,8,0,0,150,7,0
6484,410,170,0,24,3,0,0,70,2.9,0
6485,335,240,0,55,0,0,0,35,0,0
6486,320,360,0,36,10,0,0,340,12,0
6487,410,250,0,28,6,0,0,290,7,0
6488,320,300,0,45,8,0,0,45,6,0
6489,320,160,0,37,0,0,0,25,0,0
6490,360,135,0,29,0,0,0,20,0,0
6491,310,0,0,0,0,0,0,5,0,0
6492,310,5,0,0,0,0,0,0,0,0
6493,310,0,0,0,0,0,0,5,0,0
6494,100,221,0,22,3,0,0,60,9,0
6495,100,198,0,17,3,0,0,50,7,0
6496,100,225,0,22,3,0,0,60,9,0
6497,36,166,0,13,2,0,0,52,4,0
6498,36,175,0,13,2,0,0,50,4,0
6499,30,102,0,5,2,0,0,40,0.1,0
6500,9,41,0,4,0.4,0,0,4,0.8,0
6501,40,130,0,4,2,0,0,10,0,0
6502,40,125,0,6,1,0,0,15,0.1,0
6503,40,125,0,8,1,0,0,15,0,0
6504,68,330,0,18,3,0,0,55,9,0
6505,80,405,0,12,8,0,0,10,9,0
