id,food_code,food_name,country_origin,manufacturer,category_main,category_sub,food_image,allergy_info,storage_info,harvest_time
105,R000105-ZZ-AVG,"멥쌀, 현미, 운광, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
106,R000106-ZZ-AVG,"멥쌀, 현미, 일미벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
107,R000107-ZZ-AVG,"멥쌀, 현미, 일품, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
108,R000108-ZZ-AVG,"멥쌀, 현미, 일품벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
109,R000109-ZZ-AVG,"멥쌀, 현미, 추청벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
110,R000110-ZZ-AVG,"멥쌀, 현미, 친들, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
111,R000111-ZZ-AVG,"멥쌀, 현미, 큰눈벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
112,R000112-ZZ-AVG,"멥쌀, 현미, 통일벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
113,R000113-ZZ-AVG,"멥쌀, 현미, 팔방미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
114,R000114-ZZ-AVG,"멥쌀, 현미, 하이아미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
115,R000115-ZZ-AVG,"멥쌀, 현미, 한가루, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
116,R000116-ZZ-AVG,"멥쌀, 현미, 한아름4호, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
117,R000117-ZZ-AVG,"멥쌀, 현미, 해담쌀, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
118,R000118-ZZ-AVG,"멥쌀, 현미, 해들, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
119,R000119-ZZ-AVG,"멥쌀, 현미, 해품, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
120,R000120-ZZ-AVG,"멥쌀, 현미, 호품벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
121,R000121-ZZ-AVG,"멥쌀, 현미, 발아현미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
122,R000122-ZZ-AVG,"멥쌀, 현미, 적진주, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
123,R000123-ZZ-AVG,"멥쌀, 현미, 흑미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
124,R000124-ZZ-AVG,"멥쌀, 현미, 흑진미, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
125,R000125-ZZ-AVG,"멥쌀, 현미, 흑진주벼, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
126,R000126-ZZ-AVG,"멥쌀, 현미, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
127,R000127-ZZ-AVG,"멥쌀, 현미, 농림나1호, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
128,R000128-ZZ-AVG,"멥쌀, 현미, 밭벼, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
129,R000129-ZZ-AVG,"멥쌀, 현미, 삼광, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
130,R000130-ZZ-AVG,"멥쌀, 현미, 새일미, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
131,R000131-ZZ-AVG,"멥쌀, 현미, 신동진, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
132,R000132-ZZ-AVG,"멥쌀, 현미, 오대, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
133,R000133-ZZ-AVG,"멥쌀, 현미, 흑진미, 밥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
134,R000134-ZZ-AVG,"멥쌀, 현미, 죽",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
135,R000135-ZZ-AVG,"멥쌀, 현미, 미음",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
136,R000136-ZZ-AVG,"멥쌀밥, 쪄서 말린것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
137,R000137-ZZ-AVG,누룽지,대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
138,R000138-ZZ-AVG,"즉석밥, 누룽지",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
139,R000139-ZZ-AVG,"즉석밥, 누룽지, 끓는물 부음",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
140,R000140-ZZ-AVG,"즉석밥, 백미",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
141,R000141-ZZ-AVG,"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
142,R000142-ZZ-AVG,멥쌀 과자,대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
143,R000143-ZZ-AVG,"멥쌀 과자, 쌀엿강정, 팽화",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
144,R000144-ZZ-AVG,"멥쌀 과자, 튀밥, 팽화",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
145,R000145-ZZ-AVG,"멥쌀 국수, 말린것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
146,R000146-ZZ-AVG,"멥쌀떡, 가래떡",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
147,R000147-ZZ-AVG,"멥쌀떡, 가래떡, 흑미",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
148,R000148-ZZ-AVG,"멥쌀떡, 개피떡(바람떡)",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
149,R000149-ZZ-AVG,"멥쌀떡, 개피떡(바람떡), 쑥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
150,R000150-ZZ-AVG,"멥쌀떡, 꿀떡",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
151,R000151-ZZ-AVG,"멥쌀떡, 무지개떡",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
152,R000152-ZZ-AVG,"멥쌀떡, 백설기",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
153,R000153-ZZ-AVG,"멥쌀떡, 백설기, 검정콩",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
154,R000154-ZZ-AVG,"멥쌀떡, 송편, 검정콩",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
155,R000155-ZZ-AVG,"멥쌀떡, 송편, 팥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
156,R000156-ZZ-AVG,"멥쌀떡, 송편, 깨",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
157,R000157-ZZ-AVG,"멥쌀떡, 모싯잎송편, 동부",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
158,R000158-ZZ-AVG,"멥쌀떡, 모싯잎송편, 동부(국내산)",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
159,R000159-ZZ-AVG,"멥쌀떡, 모싯잎송편, 동부(수입산)",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
160,R000160-ZZ-AVG,"멥쌀떡, 시루떡, 팥",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
161,R000161-ZZ-AVG,"멥쌀떡, 절편",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
162,R000162-ZZ-AVG,"멥쌀떡, 증편",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
163,R000163-ZZ-AVG,"미숫가루, 혼합곡물",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
164,R000164-ZZ-AVG,"밀, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
165,R000165-ZZ-AVG,"밀, 금강밀, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
166,R000166-ZZ-AVG,"밀, 신미찰밀, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
167,R000167-ZZ-AVG,"밀, 흑밀, 도정, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
168,R000168-ZZ-AVG,"밀, 통밀, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
169,R000169-ZZ-AVG,"밀, 호라산, 말린것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
170,R000170-ZZ-AVG,"밀, 강력밀가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
171,R000171-ZZ-AVG,"밀, 도넛가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
172,R000172-ZZ-AVG,"밀, 박력밀가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
173,R000173-ZZ-AVG,"밀, 부침가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
174,R000174-ZZ-AVG,"밀, 빵가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
175,R000175-ZZ-AVG,"밀, 중력밀가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
176,R000176-ZZ-AVG,"밀, 통밀가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
177,R000177-ZZ-AVG,"밀, 튀김가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
178,R000178-ZZ-AVG,"밀, 팬케이크가루",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
179,R000179-ZZ-AVG,"과자, 건빵",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
180,R000180-ZZ-AVG,"과자, 대추꿀약과",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
181,R000181-ZZ-AVG,"과자, 마카로니",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
182,R000182-ZZ-AVG,"과자, 만주, 밤",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
183,R000183-ZZ-AVG,"과자, 모나카",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
184,R000184-ZZ-AVG,"과자, 바닐라 웨하스",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
185,R000185-ZZ-AVG,"과자, 비스킷, 소프트",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
186,R000186-ZZ-AVG,"과자, 비스킷, 하드",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
187,R000187-ZZ-AVG,"과자, 뻥튀기, 원반 모양, 팽화",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
188,R000188-ZZ-AVG,"과자, 사과파이",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
189,R000189-ZZ-AVG,"과자, 스낵, 새우",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
190,R000190-ZZ-AVG,"과자, 스낵, 옥수수",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
191,R000191-ZZ-AVG,"과자, 약과",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
192,R000192-ZZ-AVG,"과자, 전병",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
193,R000193-ZZ-AVG,"과자, 전병, 김",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
194,R000194-ZZ-AVG,"과자, 초코볼",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
195,R000195-ZZ-AVG,"과자, 초코파이",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
196,R000196-ZZ-AVG,"과자, 쿠키, 땅콩버터",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
197,R000197-ZZ-AVG,"과자, 쿠키, 버터",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
198,R000198-ZZ-AVG,"과자, 쿠키, 초코칩",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
199,R000199-ZZ-AVG,"과자, 쿠키, 통밀",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
200,R000200-ZZ-AVG,"과자, 크랙커",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
201,R000201-ZZ-AVG,"과자, 크래커, 땅콩샌드",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
202,R000202-ZZ-AVG,"과자, 크래커, 채소",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
203,R000203-ZZ-AVG,"과자, 크래커, 치즈샌드",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
204,R000204-ZZ-AVG,"국수, 생것",대한민국,전국(대표),농축산물,곡류 및 그 제품,,,,평균
