fresh_food_id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
129,100,165 ,34.83,0.38,3.50,1.15,0,1,0.24,0
130,100,172 ,36.67,0.41,3.43,1.08,0,0,0.26,0
131,100,160 ,34.57,0.26,3.15,0.76,0,0,0.22,0
132,100,166 ,35.29,0.53,3.81,0.87,0,0,0.23,0
133,100,174 ,36.83,0.50,3.98,1.01,0,0,0.25,0
134,100,64,-15.2,-0.4,-1.2,-0.4,0,-1,-0.09,0
135,100,19,-4.4,-0.1,-0.4,-0.1,0,0,-0.02,0
136,100,373 ,83.7,0,5.2,0.1,0,29,0,0
137,100,393 ,86.8,0,6.8,0.2,0,6,0,0
138,100,415 ,90.98,1.14,6.64,0.84,0,70,0.33,0.01
139,100,69 ,15.06,1.15,1.32,0.10,0,13,0.04,0
140,100,152 ,33.59,1.04,2.11,0.28,0,1,0.11,0
141,100,150 ,33.76,0.03,2.83,0.38,0,159,0.13,0
142,100,469 ,78.2,0,3.2,15.9,0,224,0,0
143,100,395 ,89.96,29.97,4.11,2.13,0,4,1.12,0.02
144,100,393 ,80.7,0,8.7,3.9,0,74,0,0
145,100,340 ,72.6,0,9.1,1.5,0,1964,0,0
146,100,213 ,48.80,0.09,3.71,0.37,0,261,0.16,0
147,100,205 ,47.8,0,3.5,0,0,226,0,0
148,100,207 ,45.6,0,4.3,0.8,0,155,0,0
149,100,206 ,45.2,0,4.5,0.8,0,157,0,0
150,100,210 ,46.14,7.39,3.09,1.46,0,248,0.28,0.01
151,100,229 ,53.0,0,3.5,0.3,0,277,0,0
152,100,245 ,53.45,9.61,3.99,0.52,0,212,0.18,0
153,100,229 ,48.31,2.07,5.75,1.46,0,223,0.31,0
154,100,200 ,41.2,0,6.9,0.8,0,463,0,0
155,100,200 ,43.6,0,5.4,0.4,0,466,0,0
156,100,224 ,44.01,6.44,5.90,2.74,0,173,0.52,0.01
157,100,190 ,40.29,3.18,5.65,0.66,0,262,0.24,0
158,100,190 ,40.68,1.59,5.28,0.65,0,282,0.24,0
159,100,190 ,39.90,3.18,6.03,0.67,0,242,0.24,0
160,100,183 ,38.94,0.94,5.83,0.41,0,233,0.16,0
161,100,215 ,49.04,0.10,3.69,0.49,0,220,0.19,0
162,100,195 ,44.66,8.74,3.02,0.43,0,265,0.14,0
163,100,398 ,76.17,1.06,14.52,5.48,0,6,1.08,0.01
164,100,333 ,75.8,0,10.6,1.0,0,17,0,0
165,100,329 ,71.70,0,13.06,1.28,0,1,0.31,0
166,100,334 ,74.2,0,11.3,1.6,0,6,0,0
167,100,328 ,72.5,0,12.9,0.9,0,6,0,0
168,100,342 ,74.6,0,13.2,1.5,0,0,0,0
169,100,334 ,71.16,4.37,13.74,1.91,0,3,0.41,0.01
170,100,334 ,72.89,0,13.59,1.11,0,1,0.27,0
171,100,404 ,73.9,0,8.5,6.8,0,778,0,0
172,100,374 ,77.73,0,9.15,0.94,0,1,0.23,0
173,100,368 ,75.52,3.49,9.80,0.98,0,786,0.24,0
174,100,392 ,77.04,4.74,11.95,2.05,0,306,0.76,0.01
175,100,375 ,76.64,0,10.34,1.01,0,1,0.26,0
176,100,365 ,71.5,0,11.9,1.6,0,5,0,0
177,100,367 ,78.41,0,7.22,0.80,0,876,0.22,0
178,100,394 ,75.9,0,7.9,4.9,0,735,0,0
179,100,419 ,75.37,16.84,9.92,8.67,0,457,3.68,0.05
180,100,428 ,65.7,0,4.5,16.3,0,18,0,0
181,100,457 ,71.28,0.93,11.50,13.96,0,497,2.42,0.39
182,100,330 ,70.86,42.45,6.35,2.39,0,158,0.86,0.01
183,100,346 ,82.62,36.58,3.35,0.29,0,64,0.08,0
184,100,521 ,65.6,0,4.1,26.9,0,131,0,0
185,100,489 ,60.34,23.46,5.70,24.93,31,227,11.98,0.23
186,100,534 ,62.63,9.21,6.68,28.58,2,481,13.97,0.13
187,100,383 ,82.29,1.74,11.06,1.07,0,112,0.29,0.01
