NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
6377,60,245,-,13,3,-,-,85,8,-
6378,64,260,-,18,3,-,-,85,8,-
6379,71,260,-,15,3,-,-,110,8,-
6380,13,60,-,2,1,-,-,20,1.8,-
6381,17,85,-,9,1,-,-,10,1.5,-
6382,17,70,-,8,1,-,-,10,1.1,-
6383,17,75,-,9,1,-,-,10,1.3,-
6384,17,70,-,7,1,-,-,10,0.8,-
6385,17,90,-,8,1,-,-,10,2.3,-
6386,17,85,-,8,1,-,-,10,2.1,-
6387,75,231,-,22,5,-,-,80,2.2,-
6388,70,245,-,18,4,-,-,86,4.1,-
6389,110,490,-,21,10,-,-,105,8,-
6390,50,140,-,18,3,-,-,35,0.8,-
6391,50,140,-,19,3,-,-,35,0.8,-
6392,95,320,-,30,11,-,-,50,3.4,-
6393,36,95,-,4,1,-,-,15,4.4,-
6394,60,200,-,17,4,-,-,130,2.2,-
6395,60,205,-,15,4,-,-,115,1.9,-
6396,70,290,-,11,5,-,-,80,8,-
6397,70,260,-,19,4,-,-,120,8,-
6398,13,60,-,2,1,-,-,20,1.8,-
6399,100,325,-,28,5,-,-,95,10,-
6400,99,325,-,16,4,-,-,70,15,-
6401,62,200,-,17,4,-,-,120,1.8,-
6402,192,605,-,8,19,-,-,700,11,-
6403,220,435,-,7,13,-,-,690,1.9,-
6404,151,390,-,13,11,-,-,640,8,-
6405,170,480,-,2,17,-,-,640,3.1,-
6406,130,290,-,9,14,-,-,430,2.8,-
6407,250,400,-,10,10,-,-,480,3.6,-
6408,204,445,-,9,25,-,-,680,12,-
6409,123,290,-,3,13,-,-,510,5,-
6410,128,305,-,16,6,-,-,310,2.9,-
6411,129,295,-,12,10,-,-,360,2.9,-
6412,216,300,-,13,8,-,-,430,3.7,-
6413,208,450,-,9,19,-,-,730,14,-
6414,135,355,-,7,14,-,-,740,7,-
6415,122,285,-,6,10,-,-,520,6,-
6416,193,295,-,4,12,-,-,700,20,-
6417,243,653,-,52,16,-,-,810,12,-
6418,249,595,-,13,31,-,-,1230,11,-
6419,216,520,-,14,18,-,-,1180,10,-
6420,233,545,-,4,16,-,-,860,6,-
6421,176,400,-,4,21,-,-,970,4,-
6422,84,240,-,1,11,-,-,340,4.7,-
6423,180,375,-,12,12,-,-,500,4.3,-
6424,101,320,-,5,13,-,-,630,8,-
6425,270,500,-,5,19,-,-,790,8,-
6426,30,185,-,0.7,0.7,-,-,130,3.2,-
6427,215,435,-,11,21,-,-,880,3.6,-
6428,145,370,-,8,14,-,-,870,8,-
6429,237,660,-,22,20,-,-,1470,11,-
6430,226,510,-,2,17,-,-,880,4.3,-
6431,300,610,-,14,23,-,-,1220,7,-
6432,289,265,-,15,9,-,-,490,3.8,-
6433,224,485,-,12,17,-,-,850,7,-
6434,282,625,-,21,25,-,-,910,11,-
6435,252,475,-,8,12,-,-,780,6,-
6436,229,530,-,7,11,-,-,760,6,-
6437,248,385,-,7,15,-,-,670,3.4,-
6438,330,735,-,13,23,-,-,1120,10,-
6439,160,330,-,12,11,-,-,560,4.5,-
6440,228,455,-,12,19,-,-,810,7,-
