NO,1회제공량(g),에너지(㎉),탄수화물(g),당류(g),단백질(g),지방(g),콜레스테롤(㎎),나트륨(㎎),포화 지방산(g),트랜스 지방산(g)
id,amount_per_serving,calorie,carbohydrate,sugar,protein,fat,cholesterol,sodium,saturated_fat,trans_fat
4189,30,49.09,4.91,2.69,0.55,3,1.64,8.18,1.09,0.14
4190,30,42.75,4.28,1.58,0.22,2.92,0,13.5,2.7,0
4191,30,45,5,2.5,0.35,2.5,0,12.5,1.5,0
4192,30,45,5.62,2.25,0.43,2.25,1.19,38.25,1.85,0
4193,30,43.88,6.07,2.47,0.34,2.09,1.12,36,1.69,0
4194,30,45,6.3,2.18,0.31,2.16,1.12,45,2.09,0
4195,30,46.12,6.07,2.47,0.43,2.25,1.12,30.38,1.8,0
4196,30,45,5.14,0.23,0.64,2.25,6.43,25.71,1.61,0
4197,30,51,4.2,0.9,1.8,3,0,22.5,0.6,0
4198,100,150,18,12,2,8,0,25,5,0
4199,30,14.4,1.8,1.17,0.09,0.72,0,2.25,0.63,0
4200,100,125,16,18.16,1,6,0,10,5,0
4201,30,41.7,6,2.69,0.9,1.5,0,30.6,0.6,0
4202,30,49.5,3.9,0.9,1.8,3,0,34.5,1.05,0
4203,30,35.36,7.07,4.5,0,0.64,0,54.64,0.32,0
